"Year","Taylor"
1977,11.3703083607688
1978,14.0516582725772
1979,19.3051267265966
1980,21.2420773118168
1981,16.4069958682825
1982,7.80742156260399
1983,4.05401706777159
1984,7.40360833408089
1985,6.52108751868508
1986,4.02880576009243
1987,6.74573046663761
1988,7.85844157103644
1989,9.30212988198369
1990,9.68779128595862
1991,6.62865619755017
1992,5.29507128722294
1993,5.2470689112246
1994,5.36252324559648
1995,5.62498343599409
1996,6.21484621377684
1997,5.76738812556941
1998,4.81682026416839
1999,6.02829906511602
2000,7.78093612563903
2001,5.70544959866287
2002,3.32248542439517
2003,4.50349533152176
2004,5.69688441805017
2005,7.21886375033298
2006,7.23505102751348
2007,6.60194045523243
2008,7.09298258885868
2009,-1.15098759697707
2010,2.44967411783166
2011,4.78647559701027
2012,3.46544928727246
2013,2.62141580052937
2014,3.21143729572703
2015,1.56110025503946
2016,3.26837942687828
2017,4.90423070702116
